t1,st2,local_name,percent,numpeo,cx,cy
文化展覽類,關注展覽訊息者,北投區文林里,0.0283350568769,137.0,121.515062791,25.1084906977
影視娛樂類,關注古典樂者,北投區文林里,0.0530444527456,284.0,121.515062791,25.1084906977
影視娛樂類,關注古典樂者,北投區振華里,0.0490020065477,464.0,121.519192793,25.1158207207
影視娛樂類,關注電影者,北投區振華里,0.403097137494,4295.0,121.519192793,25.1158207207
文化展覽類,關注展覽訊息者,北投區振華里,0.0291783380019,250.0,121.519192793,25.1158207207
文化展覽類,關注文化藝術訊息者,北投區振華里,0.195870483341,2087.0,121.519192793,25.1158207207
美食戶外旅遊類,關注素食料理者,北投區振華里,0.025240257683,239.0,121.519192793,25.1158207207
運動體育類,關注體育：網球者,北投區振華里,0.334678554669,3566.0,121.519192793,25.1158207207
影視娛樂類,關注歐美電視節目者,北投區振華里,0.359831065228,3834.0,121.519192793,25.1158207207
運動體育類,關注體育：籃球者,北投區振華里,0.427217268888,4552.0,121.519192793,25.1158207207
美食戶外旅遊類,關注美式料理者,北投區振華里,0.171281088691,1825.0,121.519192793,25.1158207207
運動體育類,關注體育：跑步者,北投區振華里,0.0547385620915,469.0,121.519192793,25.1158207207
運動體育類,關注體育：格鬥與摔角者,北投區振華里,0.0771475256769,661.0,121.519192793,25.1158207207
美食戶外旅遊類,關注日本料理者,北投區振華里,0.322196152041,3433.0,121.519192793,25.1158207207
寵物生活類,關注貓寵物者,北投區振華里,0.0935710933834,997.0,121.519192793,25.1158207207
身體保健類,關注健康保健者,北投區振華里,0.420929141248,4485.0,121.519192793,25.1158207207
美食戶外旅遊類,關注旅遊資訊者,北投區振華里,0.188549976537,2009.0,121.519192793,25.1158207207
影視娛樂類,關注韓國潮流哈韓者,北投區振華里,0.383106522759,4082.0,121.519192793,25.1158207207
學習教育類,關注教育學習者,北投區振華里,0.503801032379,5368.0,121.519192793,25.1158207207
美食戶外旅遊類,關注烹飪者,北投區振華里,0.384608165181,4098.0,121.519192793,25.1158207207
美食戶外旅遊類,關注速食者,北投區振華里,0.146316283435,1559.0,121.519192793,25.1158207207
影視娛樂類,關注搖滾樂者,北投區振華里,0.0946245643679,896.0,121.519192793,25.1158207207
運動體育類,關注體育：賽車者,北投區振華里,0.0547385620915,469.0,121.519192793,25.1158207207
運動體育類,關注體育：足球者,北投區振華里,0.378789300798,4036.0,121.519192793,25.1158207207
美食戶外旅遊類,關注戶外休閒者,北投區振華里,0.383200375411,4083.0,121.519192793,25.1158207207
身體保健類,關注口腔牙齒治療者,北投區振華里,0.40281557954,4292.0,121.519192793,25.1158207207
影視娛樂類,音樂:韓國音樂,北投區振華里,0.161614265603,1722.0,121.519192793,25.1158207207
運動體育類,關注體育：自行車者,北投區振華里,0.0184407096172,158.0,121.519192793,25.1158207207
寵物生活類,關注狗寵物者,北投區振華里,0.336649460347,3587.0,121.519192793,25.1158207207
運動體育類,關注體育：水上運動者,北投區振華里,0.0961989676208,1025.0,121.519192793,25.1158207207
美食戶外旅遊類,關注台式料理者,北投區振華里,0.0716020699123,678.0,121.519192793,25.1158207207
影視娛樂類,關注影視娛樂訊息者,北投區振華里,0.375222900047,3998.0,121.519192793,25.1158207207
影視娛樂類,關注日本電視節目者,北投區振華里,0.31506335054,3357.0,121.519192793,25.1158207207
運動體育類,關注體育：游泳者,北投區振華里,0.0373482726424,320.0,121.519192793,25.1158207207
運動體育類,關注體育：高爾夫球者,北投區振華里,0.0151211232834,98.0,121.519192793,25.1158207207
影視娛樂類,關注日本音樂者,北投區振華里,0.320788362271,3418.0,121.519192793,25.1158207207
影視娛樂類,關注韓國電視節目者,北投區振華里,0.430595964336,4588.0,121.519192793,25.1158207207
影視娛樂類,關注日本潮流哈日者,北投區振華里,0.408165180666,4349.0,121.519192793,25.1158207207
寵物生活類,關注水族寵物者,北投區振華里,0.287939934303,3068.0,121.519192793,25.1158207207
身體保健類,關注口腔牙齒美容者,北投區振華里,0.0613581159573,581.0,121.519192793,25.1158207207
運動體育類,關注體育：棒球者,北投區振華里,0.449554199906,4790.0,121.519192793,25.1158207207
文化展覽類,關注展覽訊息者,士林區德行里,0.0346836113317,131.0,121.5241625,25.102585
影視娛樂類,關注古典樂者,士林區德行里,0.0479306685532,271.0,121.5241625,25.102585
影視娛樂類,關注電影者,士林區德行里,0.405910050333,2500.0,121.5241625,25.102585
